player.playerId,player.player.player.givenName,player.player.player.surname,ID
CD_I296432,Malcolm,Karpany,12471
CD_I992752,Archie,Smith,12472
CD_I297523,Reilly,O'Brien,12473
CD_I296383,Kurt,Heatherley,12474
CD_I993806,Sam,Weideman,12475
CD_I993795,David,Cuningham,12476
CD_I992128,Ryan,Burton,12477
CD_I298318,Jesse,Palmer,12478
CD_I298347,Jake,Long,12479
CD_I998569,Callum,Moore,12480
CD_I993799,Brayden,Fiorini,12481
CD_I994235,Josh,Clayton,12482
CD_I994599,Riley,Bonner,12483
CD_I990606,Will,Snelling,12484
CD_I994077,Mabior,Chol,12485
CD_I993821,Brandon,White,12486
CD_I994539,Sam,Petrevski-Seton,12487
CD_I998226,Harrison,Macreadie,12488
CD_I990423,Jarrod,Pickett,12489
CD_I992374,Dan,Butler,12490
CD_I998102,Andrew,McGrath,12491
CD_I1001449,Mitch,Hannan,12492
CD_I1003546,Joel,Smith,12493
CD_I993979,Sam,Powell-Pepper,12494
CD_I994295,Dan,Houston,12495
CD_I296532,Brett,Eddy,12496
CD_I998103,Oliver,Florent,12497
